Season,Seed,TeamID,TeamName,Region
1985,1,1207,Georgetown,W
1986,4,1207,Georgetown,X
1987,1,1207,Georgetown,X
1988,8,1207,Georgetown,W
1989,1,1207,Georgetown,W
1990,3,1207,Georgetown,X
1991,8,1207,Georgetown,Z
1992,6,1207,Georgetown,X
1994,9,1207,Georgetown,Y
1995,6,1207,Georgetown,Z
1996,2,1207,Georgetown,W
1997,10,1207,Georgetown,Z
2001,10,1207,Georgetown,X
2006,7,1207,Georgetown,Y
2007,2,1207,Georgetown,W
2008,2,1207,Georgetown,X
2010,3,1207,Georgetown,Y
2011,6,1207,Georgetown,Z
2012,3,1207,Georgetown,X
2013,2,1207,Georgetown,X
2015,4,1207,Georgetown,X
2021,12,1207,Georgetown,W
1985,2,1210,Georgia Tech,W
1986,2,1210,Georgia Tech,Y
1987,7,1210,Georgia Tech,Y
1988,5,1210,Georgia Tech,W
1989,6,1210,Georgia Tech,Y
1990,4,1210,Georgia Tech,Y
1991,8,1210,Georgia Tech,Y
1992,7,1210,Georgia Tech,Y
1993,4,1210,Georgia Tech,Z
1996,3,1210,Georgia Tech,Y
2001,8,1210,Georgia Tech,X
2004,3,1210,Georgia Tech,Z
2005,5,1210,Georgia Tech,W
2007,10,1210,Georgia Tech,Y
2010,10,1210,Georgia Tech,Y
2021,9,1210,Georgia Tech,Y
1985,3,1228,Illinois,W
1986,4,1228,Illinois,Y
1987,3,1228,Illinois,X
1988,3,1228,Illinois,Y
1989,1,1228,Illinois,Y
1990,5,1228,Illinois,X
1993,6,1228,Illinois,Z
1994,8,1228,Illinois,Y
1995,11,1228,Illinois,W
1997,6,1228,Illinois,X
1998,5,1228,Illinois,X
2000,4,1228,Illinois,W
2001,1,1228,Illinois,Y
2002,4,1228,Illinois,X
2003,4,1228,Illinois,Z
2004,5,1228,Illinois,W
2005,1,1228,Illinois,X
2006,4,1228,Illinois,Z
2007,12,1228,Illinois,Z
2009,5,1228,Illinois,X
2011,9,1228,Illinois,Z
2013,7,1228,Illinois,W
2021,1,1228,Illinois,Y
2022,4,1228,Illinois,Z
1985,4,1260,Loyola-Chicago,W
2018,11,1260,Loyola-Chicago,Y
2021,8,1260,Loyola-Chicago,Y
2022,10,1260,Loyola-Chicago,Z
1985,5,1374,SMU,W
1988,7,1374,SMU,W
1993,10,1374,SMU,X
2015,6,1374,SMU,X
2017,6,1374,SMU,W
1985,6,1208,Georgia,W
1987,8,1208,Georgia,Z
1990,7,1208,Georgia,X
1991,11,1208,Georgia,X
1996,8,1208,Georgia,Z
1997,3,1208,Georgia,X
2001,8,1208,Georgia,W
2002,3,1208,Georgia,W
2008,14,1208,Georgia,Z
2011,10,1208,Georgia,W
2015,10,1208,Georgia,W
1985,7,1393,Syracuse,W
1986,2,1393,Syracuse,W
1987,2,1393,Syracuse,W
1988,3,1393,Syracuse,W
1989,2,1393,Syracuse,Y
1990,2,1393,Syracuse,Y
1991,2,1393,Syracuse,W
1992,6,1393,Syracuse,W
1994,4,1393,Syracuse,Z
1995,7,1393,Syracuse,Y
1996,4,1393,Syracuse,Z
1998,5,1393,Syracuse,Z
1999,8,1393,Syracuse,Y
2000,4,1393,Syracuse,Y
2001,5,1393,Syracuse,Y
2003,3,1393,Syracuse,W
2004,5,1393,Syracuse,X
2005,4,1393,Syracuse,Y
2006,5,1393,Syracuse,W
2009,3,1393,Syracuse,X
2010,1,1393,Syracuse,Z
2011,3,1393,Syracuse,W
2012,1,1393,Syracuse,W
2013,4,1393,Syracuse,W
2014,3,1393,Syracuse,X
2016,10,1393,Syracuse,X
2018,11,1393,Syracuse,X
2019,8,1393,Syracuse,X
2021,11,1393,Syracuse,Y
1985,8,1396,Temple,W
1986,9,1396,Temple,X
1987,2,1396,Temple,Y
1988,1,1396,Temple,W
1990,11,1396,Temple,W
1991,10,1396,Temple,W
1992,11,1396,Temple,Z
1993,7,1396,Temple,Z
1994,4,1396,Temple,W
1995,10,1396,Temple,X
1996,7,1396,Temple,Y
1997,9,1396,Temple,Y
1998,7,1396,Temple,X
1999,6,1396,Temple,W
2000,2,1396,Temple,W
2001,11,1396,Temple,Z
2008,12,1396,Temple,Y
2009,11,1396,Temple,X
2010,5,1396,Temple,W
2011,7,1396,Temple,X
2012,5,1396,Temple,X
2013,9,1396,Temple,W
2016,10,1396,Temple,Y
2019,11,1396,Temple,W
1985,9,1439,Virginia Tech,W
1986,7,1439,Virginia Tech,Y
1996,9,1439,Virginia Tech,X
2007,5,1439,Virginia Tech,Z
2017,9,1439,Virginia Tech,W
2018,8,1439,Virginia Tech,W
2019,4,1439,Virginia Tech,W
2021,10,1439,Virginia Tech,Z
2022,11,1439,Virginia Tech,W
1985,10,1177,DePaul,W
1986,12,1177,DePaul,W
1987,3,1177,DePaul,Y
1988,5,1177,DePaul,X
1989,12,1177,DePaul,X
1991,9,1177,DePaul,Y
1992,5,1177,DePaul,X
2000,9,1177,DePaul,W
2004,7,1177,DePaul,X
1985,11,1455,Wichita St,W
1987,11,1455,Wichita St,Y
1988,12,1455,Wichita St,X
2006,7,1455,Wichita St,Z
2012,5,1455,Wichita St,Y
2013,9,1455,Wichita St,Z
2014,1,1455,Wichita St,Y
2015,7,1455,Wichita St,Y
2016,11,1455,Wichita St,Y
2017,10,1455,Wichita St,Z
2018,4,1455,Wichita St,W
2021,11,1455,Wichita St,X
1985,12,1330,Old Dominion,W
1986,8,1330,Old Dominion,W
1992,15,1330,Old Dominion,W
1995,14,1330,Old Dominion,W
1997,14,1330,Old Dominion,W
2005,12,1330,Old Dominion,Y
2007,12,1330,Old Dominion,Y
2010,11,1330,Old Dominion,X
2011,9,1330,Old Dominion,Y
2019,14,1330,Old Dominion,Z
1985,13,1233,Iona,W
1998,12,1233,Iona,Z
2000,14,1233,Iona,Y
2001,14,1233,Iona,Y
2006,13,1233,Iona,W
2012,14,1233,Iona,Z
2013,15,1233,Iona,Z
2016,13,1233,Iona,X
2017,14,1233,Iona,Y
2018,15,1233,Iona,X
2019,16,1233,Iona,Y
2021,15,1233,Iona,W
1985,14,1318,Northeastern,W
1986,13,1318,Northeastern,W
1987,14,1318,Northeastern,W
1991,16,1318,Northeastern,W
2015,14,1318,Northeastern,Y
2019,13,1318,Northeastern,Y
1985,15,1273,Mercer,W
2014,14,1273,Mercer,Y
1985,16,1250,Lehigh,W
1988,16,1250,Lehigh,W
2004,16,1250,Lehigh,Z
2010,16,1250,Lehigh,Y
2012,15,1250,Lehigh,Y
1985,1,1385,St John's,X
1986,1,1385,St John's,Z
1987,6,1385,St John's,Y
1988,11,1385,St John's,Z
1990,6,1385,St John's,W
1991,4,1385,St John's,Y
1992,7,1385,St John's,Z
1993,5,1385,St John's,W
1998,7,1385,St John's,Y
1999,3,1385,St John's,Y
2000,2,1385,St John's,Z
2002,9,1385,St John's,W
2011,6,1385,St John's,Y
2015,9,1385,St John's,X
2019,11,1385,St John's,X
1985,2,1433,VCU,X
1996,12,1433,VCU,Y
2004,13,1433,VCU,Y
2007,11,1433,VCU,Z
2009,11,1433,VCU,W
2011,11,1433,VCU,Z
2012,12,1433,VCU,Y
2013,5,1433,VCU,X
2014,5,1433,VCU,X
2015,7,1433,VCU,Z
2016,10,1433,VCU,Z
2017,10,1433,VCU,X
2019,8,1433,VCU,W
2021,10,1433,VCU,X
1985,3,1301,NC State,X
1986,6,1301,NC State,X
1987,11,1301,NC State,W
1988,3,1301,NC State,X
1989,5,1301,NC State,W
1991,6,1301,NC State,W
2002,7,1301,NC State,W
2003,9,1301,NC State,W
2004,3,1301,NC State,X
2005,10,1301,NC State,Z
2006,10,1301,NC State,W
2012,11,1301,NC State,X
2013,8,1301,NC State,W
2014,12,1301,NC State,Y
2015,8,1301,NC State,W
2018,9,1301,NC State,X
1985,4,1424,UNLV,X
1986,4,1424,UNLV,Z
1987,1,1424,UNLV,Z
1988,4,1424,UNLV,Z
1989,4,1424,UNLV,X
1990,1,1424,UNLV,Z
1991,1,1424,UNLV,Z
1998,12,1424,UNLV,W
2000,10,1424,UNLV,X
2007,7,1424,UNLV,Y
2008,8,1424,UNLV,X
2010,8,1424,UNLV,Y
2011,8,1424,UNLV,Z
2012,6,1424,UNLV,Y
2013,5,1424,UNLV,W
1985,5,1449,Washington,X
1986,12,1449,Washington,X
1998,11,1449,Washington,W
1999,7,1449,Washington,X
2004,8,1449,Washington,Z
2005,1,1449,Washington,W
2006,5,1449,Washington,Z
2009,4,1449,Washington,Z
2010,11,1449,Washington,W
2011,7,1449,Washington,W
2019,9,1449,Washington,Y
1985,6,1409,Tulsa,X
1986,10,1409,Tulsa,W
1987,11,1409,Tulsa,Z
1994,12,1409,Tulsa,Y
1995,6,1409,Tulsa,W
1996,11,1409,Tulsa,X
1997,5,1409,Tulsa,Y
1999,9,1409,Tulsa,W
2000,7,1409,Tulsa,X
2002,12,1409,Tulsa,W
2003,13,1409,Tulsa,Y
2014,13,1409,Tulsa,X
2016,11,1409,Tulsa,W
1985,7,1104,Alabama,X
1986,5,1104,Alabama,Y
1987,2,1104,Alabama,X
1989,6,1104,Alabama,Z
1990,7,1104,Alabama,Z
1991,4,1104,Alabama,X
1992,5,1104,Alabama,Z
1994,9,1104,Alabama,X
1995,5,1104,Alabama,W
2002,2,1104,Alabama,Y
2003,10,1104,Alabama,Y
2004,8,1104,Alabama,X
2005,5,1104,Alabama,X
2006,10,1104,Alabama,X
2012,9,1104,Alabama,X
2018,9,1104,Alabama,W
2021,2,1104,Alabama,W
2022,6,1104,Alabama,X
1985,8,1234,Iowa,X
1986,11,1234,Iowa,X
1987,2,1234,Iowa,Z
1988,5,1234,Iowa,Z
1989,4,1234,Iowa,W
1991,7,1234,Iowa,Y
1992,9,1234,Iowa,W
1993,4,1234,Iowa,Y
1996,6,1234,Iowa,Z
1997,8,1234,Iowa,Z
1999,5,1234,Iowa,Z
2001,7,1234,Iowa,W
2005,10,1234,Iowa,Y
2006,3,1234,Iowa,W
2014,11,1234,Iowa,Y
2015,7,1234,Iowa,X
2016,7,1234,Iowa,Y
2019,10,1234,Iowa,Z
2021,2,1234,Iowa,X
2022,5,1234,Iowa,Y
1985,9,1116,Arkansas,X
1988,11,1116,Arkansas,Y
1989,5,1116,Arkansas,Y
1990,4,1116,Arkansas,X
1991,1,1116,Arkansas,X
1992,3,1116,Arkansas,Y
1993,4,1116,Arkansas,W
1994,1,1116,Arkansas,Y
1995,2,1116,Arkansas,Y
1996,12,1116,Arkansas,W
1998,6,1116,Arkansas,X
1999,4,1116,Arkansas,Z
2000,11,1116,Arkansas,X
2001,7,1116,Arkansas,X
2006,8,1116,Arkansas,X
2007,12,1116,Arkansas,W
2008,9,1116,Arkansas,W
2015,5,1116,Arkansas,Z
2017,8,1116,Arkansas,Z
2018,7,1116,Arkansas,W
2021,3,1116,Arkansas,Z
2022,4,1116,Arkansas,X
1985,10,1112,Arizona,X
1986,9,1112,Arizona,Z
1987,10,1112,Arizona,Z
1988,1,1112,Arizona,Z
1989,1,1112,Arizona,X
1990,2,1112,Arizona,Z
1991,2,1112,Arizona,Z
1992,3,1112,Arizona,Z
1993,2,1112,Arizona,Z
1994,2,1112,Arizona,Z
1995,5,1112,Arizona,Y
1996,3,1112,Arizona,Z
1997,4,1112,Arizona,X
1998,1,1112,Arizona,X
1999,4,1112,Arizona,X
2000,1,1112,Arizona,Z
2001,2,1112,Arizona,Y
2002,3,1112,Arizona,Z
2003,1,1112,Arizona,Z
2004,9,1112,Arizona,W
2005,3,1112,Arizona,X
2006,8,1112,Arizona,Y
2007,8,1112,Arizona,Y
2008,10,1112,Arizona,Z
2009,12,1112,Arizona,Y
2011,5,1112,Arizona,X
2013,6,1112,Arizona,Z
2014,1,1112,Arizona,Z
2015,2,1112,Arizona,Z
2016,6,1112,Arizona,Y
2017,2,1112,Arizona,X
2018,4,1112,Arizona,Y
2022,1,1112,Arizona,Z
1985,11,1431,UTEP,X
1986,10,1431,UTEP,Z
1987,7,1431,UTEP,Z
1988,9,1431,UTEP,Z
1989,7,1431,UTEP,X
1990,11,1431,UTEP,Y
1992,9,1431,UTEP,Y
2004,13,1431,UTEP,X
2005,11,1431,UTEP,Y
2010,12,1431,UTEP,Z
1985,12,1246,Kentucky,X
1986,1,1246,Kentucky,Y
1987,8,1246,Kentucky,X
1988,2,1246,Kentucky,Y
1992,2,1246,Kentucky,W
1993,1,1246,Kentucky,Y
1994,3,1246,Kentucky,X
1995,1,1246,Kentucky,Z
1996,1,1246,Kentucky,X
1997,1,1246,Kentucky,Z
1998,2,1246,Kentucky,Z
1999,3,1246,Kentucky,X
2000,5,1246,Kentucky,Y
2001,2,1246,Kentucky,W
2002,4,1246,Kentucky,W
2003,1,1246,Kentucky,Y
2004,1,1246,Kentucky,Z
2005,2,1246,Kentucky,Y
2006,8,1246,Kentucky,Z
2007,8,1246,Kentucky,Z
2008,11,1246,Kentucky,Y
2010,1,1246,Kentucky,W
2011,4,1246,Kentucky,W
2012,1,1246,Kentucky,Y
2014,8,1246,Kentucky,Y
2015,1,1246,Kentucky,Y
2016,4,1246,Kentucky,W
2017,2,1246,Kentucky,Z
2018,5,1246,Kentucky,Y
2019,2,1246,Kentucky,Y
2022,2,1246,Kentucky,W
1985,13,1361,San Diego St,X
2002,13,1361,San Diego St,X
2006,11,1361,San Diego St,X
2010,11,1361,San Diego St,Y
2011,2,1361,San Diego St,X
2012,6,1361,San Diego St,X
2013,7,1361,San Diego St,X
2014,4,1361,San Diego St,Z
2015,8,1361,San Diego St,X
2018,11,1361,San Diego St,Z
2021,6,1361,San Diego St,Y
2022,8,1361,San Diego St,Y
1985,14,1305,Nevada,X
2004,10,1305,Nevada,Z
2005,9,1305,Nevada,X
2006,5,1305,Nevada,Y
2007,7,1305,Nevada,X
2017,12,1305,Nevada,Y
2018,7,1305,Nevada,Y
2019,7,1305,Nevada,X
1985,15,1267,Marshall,X
1987,13,1267,Marshall,W
2018,13,1267,Marshall,W
1985,16,1380,Southern Univ,X
1987,15,1380,Southern Univ,Y
1988,15,1380,Southern Univ,Y
1989,15,1380,Southern Univ,Z
1993,13,1380,Southern Univ,Z
2006,16,1380,Southern Univ,W
2013,16,1380,Southern Univ,Z
2016,16,1380,Southern Univ,Z
1985,1,1328,Oklahoma,Y
1986,4,1328,Oklahoma,W
1987,6,1328,Oklahoma,Z
1988,1,1328,Oklahoma,Y
1989,1,1328,Oklahoma,Z
1990,1,1328,Oklahoma,X
1992,4,1328,Oklahoma,X
1995,4,1328,Oklahoma,Z
1996,10,1328,Oklahoma,Y
1997,11,1328,Oklahoma,Z
1998,10,1328,Oklahoma,W
1999,13,1328,Oklahoma,X
2000,3,1328,Oklahoma,Z
2001,4,1328,Oklahoma,Z
2002,2,1328,Oklahoma,Z
2003,1,1328,Oklahoma,W
2005,3,1328,Oklahoma,Y
2006,6,1328,Oklahoma,Y
2008,6,1328,Oklahoma,W
2009,2,1328,Oklahoma,X
2013,10,1328,Oklahoma,X
2014,5,1328,Oklahoma,Z
2015,3,1328,Oklahoma,W
2016,2,1328,Oklahoma,Z
2018,10,1328,Oklahoma,X
2019,9,1328,Oklahoma,Z
2021,8,1328,Oklahoma,X
1985,2,1272,Memphis,Y
1986,3,1272,Memphis,Y
1988,9,1272,Memphis,X
1989,5,1272,Memphis,X
1992,6,1272,Memphis,Y
1993,10,1272,Memphis,Y
1995,6,1272,Memphis,Y
1996,5,1272,Memphis,Z
2003,7,1272,Memphis,Z
2004,7,1272,Memphis,Y
2006,1,1272,Memphis,X
2007,2,1272,Memphis,X
2008,1,1272,Memphis,Y
2009,2,1272,Memphis,Z
2011,12,1272,Memphis,X
2012,8,1272,Memphis,Z
2013,6,1272,Memphis,Y
2014,8,1272,Memphis,W
2022,9,1272,Memphis,X
1985,3,1181,Duke,Y
1986,1,1181,Duke,W
1987,5,1181,Duke,Y
1988,2,1181,Duke,W
1989,2,1181,Duke,W
1990,3,1181,Duke,W
1991,2,1181,Duke,Y
1992,1,1181,Duke,W
1993,3,1181,Duke,X
1994,2,1181,Duke,X
1996,8,1181,Duke,Y
1997,2,1181,Duke,X
1998,1,1181,Duke,Z
1999,1,1181,Duke,W
2000,1,1181,Duke,W
2001,1,1181,Duke,W
2002,1,1181,Duke,Y
2003,3,1181,Duke,Z
2004,1,1181,Duke,W
2005,1,1181,Duke,Y
2006,1,1181,Duke,W
2007,6,1181,Duke,Z
2008,2,1181,Duke,Z
2009,2,1181,Duke,W
2010,1,1181,Duke,X
2011,1,1181,Duke,X
2012,2,1181,Duke,Y
2013,2,1181,Duke,Y
2014,3,1181,Duke,Y
2015,1,1181,Duke,X
2016,4,1181,Duke,Z
2017,2,1181,Duke,W
2018,2,1181,Duke,X
2019,1,1181,Duke,W
2022,2,1181,Duke,X
1985,4,1326,Ohio St,Y
1987,9,1326,Ohio St,X
1990,8,1326,Ohio St,Z
1991,1,1326,Ohio St,Y
1992,1,1326,Ohio St,Z
1999,4,1326,Ohio St,Y
2000,3,1326,Ohio St,X
2001,5,1326,Ohio St,W
2002,4,1326,Ohio St,Z
2006,2,1326,Ohio St,Y
2007,1,1326,Ohio St,X
2009,8,1326,Ohio St,Y
2010,2,1326,Ohio St,Y
2011,1,1326,Ohio St,W
2012,2,1326,Ohio St,W
2013,2,1326,Ohio St,Z
2014,6,1326,Ohio St,X
2015,10,1326,Ohio St,Z
2018,5,1326,Ohio St,Z
2019,11,1326,Ohio St,Y
2021,2,1326,Ohio St,Z
2022,7,1326,Ohio St,Z
1985,5,1256,Louisiana Tech,Y
1987,14,1256,Louisiana Tech,Y
1989,9,1256,Louisiana Tech,Z
1991,12,1256,Louisiana Tech,X
1985,6,1403,Texas Tech,Y
1986,13,1403,Texas Tech,X
1993,12,1403,Texas Tech,W
1996,3,1403,Texas Tech,W
2002,6,1403,Texas Tech,W
2004,8,1403,Texas Tech,Y
2005,6,1403,Texas Tech,W
2007,10,1403,Texas Tech,W
2016,8,1403,Texas Tech,X
2018,3,1403,Texas Tech,W
2019,3,1403,Texas Tech,X
2021,6,1403,Texas Tech,Z
2022,3,1403,Texas Tech,X
1985,7,1412,UAB,Y
1986,6,1412,UAB,Z
1987,11,1412,UAB,X
1990,10,1412,UAB,W
1994,7,1412,UAB,W
1999,12,1412,UAB,Z
2004,9,1412,UAB,Z
2005,11,1412,UAB,X
2006,9,1412,UAB,Z
2011,12,1412,UAB,W
2015,14,1412,UAB,X
