Season,TeamID,TeamName,538rating
2016,1242,Kansas,94.46
2016,1314,North Carolina,93.94
2016,1438,Virginia,92.46
2016,1277,Michigan State,91.84
2016,1328,Oklahoma,89.96
2016,1437,Villanova,91.29
2016,1246,Kentucky,90.69
2016,1452,West Virginia,89.3
2016,1345,Purdue,88.68
2016,1332,Oregon,88
2016,1401,Texas A&M,86.82
2016,1112,Arizona,89.04
2016,1462,Xavier,87.73
2016,1181,Duke,87.33
2016,1268,Maryland,87.37
2016,1231,Indiana,87.36
2016,1274,Miami (FL),87.05
2016,1235,Iowa State,86.5
2016,1124,Baylor,85.47
2016,1400,Texas,84.66
2016,1428,Utah,86.64
2016,1455,Wichita State,86.59
2016,1234,Iowa,85.91
2016,1435,Vanderbilt,85.59
2016,1143,California,85.62
2016,1211,Gonzaga,85.96
2016,1458,Wisconsin,84.75
2016,1323,Notre Dame,84.36
2016,1163,Connecticut,85.32
2016,1153,Cincinnati,83.7
2016,1139,Butler,84.17
2016,1371,Seton Hall,84.46
2016,1433,Virginia Commonwealth,83.05
2016,1173,Dayton,82.37
2016,1393,Syracuse,82.69
2016,1338,Pittsburgh,82.29
2016,1386,Saint Joseph's,81.61
2016,1344,Providence,82.48
2016,1320,Northern Iowa,80.24
2016,1160,Colorado,81.46
2016,1372,Stephen F. Austin,80.98
2016,1463,Yale,80.2
2016,1403,Texas Tech,81.27
2016,1409,Tulsa,79.93
2016,1276,Michigan,79.57
2016,1425,Southern California,81.4
2016,1114,Arkansas-Little Rock,78.9
2016,1355,South Dakota State,78.64
2016,1396,Temple,78.48
2016,1423,North Carolina-Wilmington,77.72
2016,1333,Oregon State,77.63
2016,1233,Iona,78.22
2016,1453,Green Bay,76.18
2016,1392,Stony Brook,77.09
2016,1218,Hawaii,78.02
2016,1151,Chattanooga,76.6
2016,1201,Fresno State,76.61
2016,1138,Buffalo,75.66
2016,1167,Cal State Bakersfield,74.97
2016,1292,Middle Tennessee,75.02
2016,1421,North Carolina-Asheville,74.17
2016,1451,Weber State,73.28
2016,1195,Florida Gulf Coast,71.41
2016,1122,Austin Peay,68.83
2016,1380,Southern,67.96
2016,1214,Hampton,68.61
2016,1221,Holy Cross,66.85
2016,1192,Fairleigh Dickinson,66.72
2017,1437,Villanova,95.18
2017,1211,Gonzaga,93.71
2017,1242,Kansas,92.18
2017,1246,Kentucky,92.28
2017,1314,North Carolina,91.74
2017,1181,Duke,92.26
2017,1257,Louisville,90.8
2017,1112,Arizona,88.99
2017,1452,West Virginia,90.8
2017,1417,UCLA,88.02
2017,1438,Virginia,90.02
