Season,DayNum,TeamID,OpponentID,FGM,Loc,Won,Score,FGA,FGM3,FGA3,FTM,FTA,OR,DR,AST,TO,STL,BLK,PF,Team_Seed,Team,Team_Region,OpponentSeed,Opponents,Opponent_Region
2003,137,1421,1400,23,N,0,61,62,5,21,10,12,13,16,5,11,9,3,16,16,UNC Asheville,X,1,Texas,X
2003,144,1163,1400,30,N,0,78,71,4,13,14,25,14,27,13,11,7,8,21,5,Connecticut,X,1,Texas,X
2003,146,1277,1400,25,N,0,76,54,8,16,18,26,12,26,11,12,1,2,28,7,Michigan St,X,1,Texas,X
2003,139,1345,1400,23,N,0,67,62,5,16,16,24,13,22,10,13,7,2,24,9,Purdue,X,1,Texas,X
2003,134,1411,1421,29,N,0,84,67,12,31,14,31,17,28,16,15,5,0,22,16,TX Southern,X,16,UNC Asheville,X
2003,136,1153,1211,26,N,0,69,66,10,27,7,10,13,22,13,10,7,6,24,8,Cincinnati,Z,9,Gonzaga,Z
2003,138,1228,1323,22,N,0,60,63,5,17,11,16,10,31,12,9,6,3,10,4,Illinois,Z,5,Notre Dame,Z
2003,136,1454,1323,23,N,0,69,66,8,23,15,20,14,23,15,12,11,3,25,12,WI Milwaukee,Z,5,Notre Dame,Z
2003,145,1112,1242,23,N,0,75,55,10,22,19,23,11,26,16,19,8,2,17,1,Arizona,Z,2,Kansas,Z
2003,138,1113,1242,28,N,0,76,69,4,15,16,23,17,14,11,11,7,5,21,10,Arizona St,Z,2,Kansas,Z
2003,143,1181,1242,25,N,0,65,65,10,26,5,8,11,22,11,14,6,7,18,3,Duke,Z,2,Kansas,Z
2003,136,1429,1242,23,N,0,61,56,6,17,9,10,13,19,13,13,6,1,15,15,Utah St,Z,2,Kansas,Z
2003,152,1266,1242,23,N,0,61,74,3,16,12,18,21,18,7,11,7,3,17,3,Marquette,Y,2,Kansas,Z
2003,136,1436,1112,20,N,0,51,64,4,16,7,7,8,26,12,17,10,3,15,16,Vermont,Z,1,Arizona,Z
2003,138,1211,1112,34,N,0,95,77,11,30,16,21,16,27,20,11,5,5,25,9,Gonzaga,Z,1,Arizona,Z
2003,143,1323,1112,25,N,0,71,59,10,23,11,18,9,27,15,19,6,4,16,5,Notre Dame,Z,1,Arizona,Z
2003,136,1272,1113,25,N,0,71,69,7,28,14,21,20,22,11,12,2,5,18,7,Memphis,Z,10,Arizona St,Z
2003,138,1141,1181,21,N,0,60,57,8,17,10,14,14,19,8,21,4,2,14,11,C Michigan,Z,3,Duke,Z
2003,136,1161,1181,18,N,0,57,54,3,11,18,22,11,24,8,19,5,4,19,14,Colorado St,Z,3,Duke,Z
2003,136,1166,1141,27,N,0,73,60,7,17,12,17,14,17,20,21,6,6,21,6,Creighton,Z,11,C Michigan,Z
2003,138,1143,1328,27,N,0,65,52,5,16,6,12,6,18,6,9,5,4,23,8,California,W,1,Oklahoma,W
2003,136,1354,1328,21,N,0,54,52,6,20,6,8,7,22,8,18,7,2,23,16,S Carolina St,W,1,Oklahoma,W
2003,144,1139,1328,19,N,0,54,43,4,13,12,17,7,14,10,13,7,2,18,12,Butler,W,1,Oklahoma,W
2003,136,1301,1143,25,N,0,74,56,9,21,15,20,10,26,16,14,5,8,19,9,NC State,W,8,California,W
2003,136,1360,1390,20,N,0,69,61,4,18,25,32,17,25,7,11,3,0,18,13,San Diego,X,4,Stanford,X
2003,136,1140,1163,20,N,0,53,64,2,17,11,13,15,26,11,11,8,4,22,12,BYU,X,5,Connecticut,X
2003,138,1390,1163,27,N,0,74,62,8,23,12,17,11,22,12,11,2,6,18,4,Stanford,X,5,Connecticut,X
2003,136,1443,1228,22,N,0,60,58,8,24,8,13,17,18,10,14,6,5,16,13,WKU,Z,4,Illinois,Z
2003,136,1221,1266,24,N,0,68,54,5,15,15,25,14,20,14,9,4,1,20,14,Holy Cross,Y,3,Marquette,Y
2003,138,1281,1266,31,N,0,92,72,15,36,15,19,18,20,19,12,4,4,17,6,Missouri,Y,3,Marquette,Y
2003,145,1246,1266,25,N,0,69,64,4,16,15,24,20,16,14,11,10,2,19,1,Kentucky,Y,3,Marquette,Y
2003,143,1338,1266,29,N,0,74,55,4,14,12,15,10,20,18,12,6,4,19,2,Pittsburgh,Y,3,Marquette,Y
2003,154,1242,1393,31,N,0,78,71,4,20,12,30,26,26,18,18,9,4,16,2,Kansas,Z,3,Syracuse,W
2003,146,1328,1393,18,N,0,47,58,5,28,6,11,14,14,10,19,13,4,16,1,Oklahoma,W,3,Syracuse,W
2003,144,1120,1393,27,N,0,78,63,10,22,14,17,14,26,15,17,5,5,19,10,Auburn,W,3,Syracuse,W
2003,139,1329,1393,22,N,0,56,63,3,19,9,19,11,27,16,22,8,4,19,6,Oklahoma St,W,3,Syracuse,W
2003,137,1264,1393,22,N,0,65,61,6,21,15,18,14,14,16,11,9,2,14,14,Manhattan,W,3,Syracuse,W
2003,152,1400,1393,27,N,0,84,63,10,21,20,32,17,17,20,14,6,2,26,1,Texas,X,3,Syracuse,W
2003,136,1356,1281,26,N,0,71,65,8,19,11,21,11,18,19,13,6,0,19,11,S Illinois,Y,6,Missouri,Y
2003,139,1231,1338,19,N,0,52,44,6,17,8,10,5,15,13,16,3,2,18,7,Indiana,Y,2,Pittsburgh,Y
2003,137,1447,1338,21,N,0,61,51,7,21,12,18,9,20,13,19,6,2,20,15,Wagner,Y,2,Pittsburgh,Y
2003,143,1458,1246,19,N,0,57,45,8,21,11,16,7,19,9,15,7,1,20,5,Wisconsin,Y,1,Kentucky,Y
2003,137,1237,1246,22,N,0,64,60,4,15,16,22,15,18,10,19,7,1,15,16,IUPUI,Y,1,Kentucky,Y
2003,139,1428,1246,19,N,0,54,48,4,14,12,16,8,14,8,16,7,2,19,9,Utah,Y,1,Kentucky,Y
2003,137,1280,1139,16,N,0,46,44,6,21,8,14,8,22,10,10,6,4,13,5,Mississippi St,W,12,Butler,W
2003,139,1257,1139,28,N,0,71,54,11,25,4,4,8,19,13,14,8,2,21,4,Louisville,W,12,Butler,W
2003,138,1409,1458,26,N,0,60,59,3,11,5,5,11,30,12,11,1,3,16,13,Tulsa,Y,5,Wisconsin,Y
2003,136,1451,1458,29,N,0,74,71,7,24,9,15,22,21,9,10,4,0,20,12,Weber St,Y,5,Wisconsin,Y
2003,136,1173,1409,28,N,0,71,66,9,28,6,9,12,16,11,11,3,3,19,4,Dayton,Y,13,Tulsa,Y
2003,137,1190,1448,24,N,0,73,60,5,10,20,28,13,25,7,15,12,4,20,15,ETSU,W,2,Wake Forest,W
2003,137,1386,1120,22,N,0,63,59,6,24,13,16,15,21,11,12,8,4,19,7,St Joseph's PA,W,10,Auburn,W
2003,139,1448,1120,18,N,0,62,49,8,23,18,21,12,23,5,18,7,7,23,2,Wake Forest,W,10,Auburn,W
2003,137,1122,1257,24,N,0,64,54,2,21,14,22,8,21,11,18,5,3,18,13,Austin Peay,W,4,Louisville,W
2003,139,1196,1277,16,N,0,46,43,5,21,9,12,8,14,9,14,2,1,20,2,Florida,X,7,Michigan St,X
2003,144,1268,1277,20,N,0,58,54,2,16,16,18,9,24,8,15,12,4,15,6,Maryland,X,7,Michigan St,X
2003,137,1160,1277,26,N,0,64,60,5,14,7,17,12,23,9,13,6,8,19,10,Colorado,X,7,Michigan St,X
2003,137,1358,1196,19,N,0,55,57,6,18,11,18,12,25,10,16,1,4,16,15,Sam Houston St,X,2,Florida,X
2003,137,1104,1231,22,N,0,62,52,5,12,13,16,9,20,13,8,2,6,21,10,Alabama,Y,7,Indiana,Y
2003,137,1332,1428,19,N,0,58,55,3,17,17,24,13,29,8,17,6,2,22,8,Oregon,Y,9,Utah,Y
2003,137,1407,1462,23,N,0,59,65,11,29,2,6,12,21,13,9,6,6,19,14,Troy,X,3,Xavier,X
2003,137,1423,1268,20,N,0,73,55,13,29,20,26,10,19,16,8,7,1,19,11,UNC Wilmington,X,6,Maryland,X
2003,139,1462,1268,20,N,0,64,57,7,18,17,24,8,20,12,7,2,0,16,3,Xavier,X,6,Maryland,X
2003,137,1335,1329,20,N,0,63,41,8,18,15,16,2,13,17,18,5,0,20,11,Penn,W,6,Oklahoma St,W
2003,137,1261,1345,20,N,0,56,60,6,26,10,17,17,18,7,16,7,3,13,8,LSU,X,9,Purdue,X
2004,137,1197,1246,30,N,0,76,66,11,30,5,12,12,17,13,17,13,1,19,16,Florida A&M,Z,1,Kentucky,Z
2004,134,1250,1197,18,N,0,57,61,7,30,14,19,21,21,12,17,7,3,20,16,Lehigh,Z,16,Florida A&M,Z
2004,136,1427,1390,15,N,0,45,63,2,15,13,21,22,17,2,19,8,3,15,16,UT San Antonio,X,1,Stanford,X
2004,138,1268,1393,20,N,0,70,52,3,12,27,38,12,28,13,17,5,6,26,4,Maryland,X,5,Syracuse,X
2004,136,1140,1393,26,N,0,75,55,10,26,13,19,15,21,19,9,2,1,23,12,BYU,X,5,Syracuse,X
2004,145,1104,1163,25,N,0,71,60,6,19,15,18,12,21,14,9,2,5,23,8,Alabama,X,2,Connecticut,X
2004,136,1436,1163,19,N,0,53,60,11,32,4,6,11,18,10,12,7,1,19,15,Vermont,X,2,Connecticut,X
2004,138,1177,1163,20,N,0,55,59,5,15,10,13,9,26,12,8,1,0,20,7,DePaul,X,2,Connecticut,X
2004,152,1181,1163,29,N,0,78,71,6,22,14,23,17,20,11,9,8,3,24,1,Duke,W,2,Connecticut,X
2004,154,1210,1163,27,N,0,73,71,7,22,12,21,18,25,9,14,10,1,26,3,Georgia Tech,Z,2,Connecticut,X
2004,143,1435,1163,20,N,0,53,57,8,24,5,8,6,15,11,11,8,0,14,6,Vanderbilt,X,2,Connecticut,X
2004,136,1356,1104,24,N,0,64,59,12,22,4,5,10,20,15,10,4,1,14,9,S Illinois,X,8,Alabama,X
2004,138,1390,1104,26,N,0,67,73,7,24,8,11,22,27,12,12,2,0,31,1,Stanford,X,8,Alabama,X
2004,143,1393,1104,26,N,0,71,55,5,14,14,20,16,19,12,18,5,4,20,5,Syracuse,X,8,Alabama,X
2004,136,1173,1177,27,N,0,69,79,3,20,12,23,18,32,11,10,5,3,29,10,Dayton,X,7,DePaul,X
2004,139,1301,1435,27,N,0,73,57,13,31,6,8,13,18,13,6,1,1,20,3,NC State,X,6,Vanderbilt,X
2004,137,1444,1435,22,N,0,58,63,2,19,12,16,18,18,10,12,13,1,19,11,W Michigan,X,6,Vanderbilt,X
2004,136,1106,1181,22,N,0,61,57,7,20,10,17,9,22,7,21,7,1,20,16,Alabama St,W,1,Duke,W
2004,138,1371,1181,24,N,0,62,57,3,17,11,16,8,14,11,10,4,0,27,8,Seton Hall,W,1,Duke,W
2004,144,1228,1181,26,N,0,62,64,4,13,6,11,14,22,17,12,5,2,15,5,Illinois,W,1,Duke,W
2004,146,1462,1181,22,N,0,63,63,3,15,16,23,16,24,8,10,5,0,21,7,Xavier,W,1,Duke,W
2004,144,1305,1210,22,N,0,67,69,5,20,18,24,16,29,5,11,4,3,22,10,Nevada,Z,3,Georgia Tech,Z
2004,139,1130,1210,20,N,0,54,44,5,13,9,15,11,19,14,22,11,2,14,6,Boston College,Z,3,Georgia Tech,Z
2004,137,1320,1210,21,N,0,60,54,10,27,8,10,3,25,15,10,2,1,16,14,Northern Iowa,Z,3,Georgia Tech,Z
2004,146,1242,1210,26,N,0,71,65,6,19,13,19,12,26,15,15,8,3,26,4,Kansas,Z,3,Georgia Tech,Z
2004,152,1329,1210,22,N,0,65,50,4,15,17,25,12,21,10,13,3,0,15,2,Oklahoma St,Y,3,Georgia Tech,Z
2004,136,1112,1371,28,N,0,76,53,5,11,15,19,7,22,12,14,4,3,15,9,Arizona,W,8,Seton Hall,W
2004,139,1153,1228,27,N,0,68,58,7,16,7,11,14,20,14,13,1,5,14,4,Cincinnati,W,5,Illinois,W
2004,137,1293,1228,17,N,0,53,49,8,20,11,17,9,18,8,10,4,2,13,12,Murray St,W,5,Illinois,W
2004,144,1400,1462,26,N,0,71,62,7,16,12,17,14,21,12,8,1,6,25,3,Texas,W,7,Xavier,W
2004,139,1280,1462,26,N,0,74,72,9,26,13,21,18,22,14,8,11,3,21,2,Mississippi St,W,7,Xavier,W
2004,137,1257,1462,25,N,0,70,63,10,32,10,13,13,13,18,10,7,1,23,10,Louisville,W,7,Xavier,W
2004,138,1211,1305,28,N,0,72,75,3,22,13,18,19,20,9,10,4,1,23,2,Gonzaga,Z,10,Nevada,Z
2004,136,1277,1305,23,N,0,66,55,5,16,15,18,6,20,14,14,9,0,25,7,Michigan St,Z,10,Nevada,Z
2004,136,1434,1211,18,N,0,49,63,6,23,7,11,10,21,8,13,6,0,20,15,Valparaiso,Z,2,Gonzaga,Z
2004,138,1264,1448,29,N,0,80,63,7,20,15,20,8,24,15,8,5,3,23,12,Manhattan,Y,4,Wake Forest,Y
2004,136,1433,1448,29,N,0,78,57,11,20,9,13,7,20,17,17,7,4,22,13,VCU,Y,4,Wake Forest,Y
2004,136,1196,1264,21,N,0,60,45,3,13,15,22,4,22,4,14,4,4,18,5,Florida,Y,12,Manhattan,Y
2004,136,1431,1268,29,N,0,83,56,5,17,20,24,9,20,13,14,2,2,25,13,UTEP,X,4,Maryland,X
2004,138,1314,1400,25,N,0,75,65,9,28,16,19,16,20,14,11,6,1,21,6,North Carolina,W,3,Texas,W
2004,136,1343,1400,18,N,0,49,51,5,26,8,12,9,14,11,7,5,0,18,14,Princeton,W,3,Texas,W
2004,136,1102,1314,17,N,0,52,39,8,25,10,13,2,19,15,16,7,2,15,11,Air Force,W,6,North Carolina,W
2004,136,1150,1403,25,N,0,73,58,6,24,17,21,13,20,14,14,11,4,20,9,Charlotte,Y,8,Texas Tech,Y
2004,145,1386,1329,22,N,0,62,57,8,26,10,13,6,18,15,5,8,3,14,1,St Joseph's PA,Y,2,Oklahoma St,Y
