Season,DayNum,TeamID,OpponentID,FGM,Loc,Won,Score,FGA,FGM3,FGA3,FTM,FTA,OR,DR,AST,TO,STL,BLK,PF,Team_Seed,Team,Team_Region,OpponentSeed,Opponents,Opponent_Region
2003,134,1421,1411,32,N,1,92,69,11,29,17,26,14,30,17,12,5,3,22,16,UNC Asheville,X,16,TX Southern,X
2003,152,1393,1400,32,N,1,95,56,7,13,24,31,9,28,14,13,9,2,21,3,Syracuse,W,1,Texas,X
2003,137,1400,1421,31,N,1,82,62,6,16,14,20,19,28,15,14,6,2,16,1,Texas,X,16,UNC Asheville,X
2003,136,1112,1436,31,N,1,80,66,7,23,11,14,11,36,22,16,10,7,8,1,Arizona,Z,16,Vermont,Z
2003,138,1112,1211,34,N,1,96,74,7,24,21,29,18,29,18,9,7,4,20,1,Arizona,Z,9,Gonzaga,Z
2003,143,1112,1323,36,N,1,88,76,7,14,9,11,14,30,19,10,12,5,17,1,Arizona,Z,5,Notre Dame,Z
2003,154,1393,1242,30,N,1,81,63,11,18,10,17,11,25,13,17,10,7,22,3,Syracuse,W,2,Kansas,Z
2003,145,1242,1112,29,N,1,78,67,8,26,12,18,15,22,16,15,13,5,20,2,Kansas,Z,1,Arizona,Z
2003,136,1113,1272,31,N,1,84,59,6,14,16,22,10,27,18,9,7,4,19,10,Arizona St,Z,7,Memphis,Z
2003,138,1242,1113,40,N,1,108,59,5,9,23,34,12,28,21,13,6,6,20,2,Kansas,Z,10,Arizona St,Z
2003,136,1141,1166,29,N,1,79,53,3,7,18,25,11,20,15,18,13,1,19,11,C Michigan,Z,6,Creighton,Z
2003,143,1242,1181,29,N,1,69,67,1,12,10,17,18,29,14,17,4,5,16,2,Kansas,Z,3,Duke,Z
2003,138,1181,1141,32,N,1,86,52,10,15,12,16,4,23,14,11,15,9,18,3,Duke,Z,11,C Michigan,Z
2003,136,1143,1301,27,N,1,76,64,7,20,15,23,18,20,17,13,8,2,14,8,California,W,9,NC State,W
